0.470340, 0.000000, 0.000000, 8.163647 
0.469626, 0.016327, -0.356916, 8.163647 
0.468198, 0.032630, -0.714270, 8.151223 
0.466054, 0.048882, -1.071851, 8.126303 
0.463195, 0.065060, -1.429445, 8.088797 
0.459621, 0.081137, -1.786829, 8.038599 
0.455334, 0.097088, -2.143771, 7.975588 
0.450334, 0.112888, -2.500031, 7.899625 
0.444623, 0.128509, -2.855351, 7.810555 
0.438204, 0.143925, -3.209462, 7.708207 
0.431080, 0.159110, -3.562077, 7.592393 
0.423254, 0.174036, -3.912888, 7.462910 
0.414731, 0.188675, -4.261567, 7.319539 
0.405516, 0.202999, -4.607757, 7.162045 
0.395613, 0.216979, -4.951077, 6.990180 
0.385031, 0.230587, -5.291114, 6.803683 
0.373776, 0.243791, -5.627420, 6.602277 
0.361857, 0.256563, -5.959509, 6.385676 
0.349284, 0.268870, -6.286853, 6.153584 
0.336066, 0.280681, -6.608881, 5.905695 
0.322216, 0.291964, -6.924967, 5.641701 
0.307747, 0.302687, -7.234435, 5.361288 
0.292674, 0.312815, -7.536546, 5.064144 
0.277013, 0.322315, -7.830500, 4.749960 
0.260782, 0.331152, -8.115424, 4.418440 
0.244001, 0.339291, -8.390371, 4.069300 
0.226693, 0.346695, -8.654315, 3.702279 
0.208880, 0.353330, -8.906140, 3.317147 
0.190591, 0.359157, -9.144643, 2.913711 
0.171854, 0.364141, -9.368520, 2.491829 
0.152701, 0.368244, -9.576367, 2.051421 
0.133168, 0.371429, -9.766677, 1.592484 
0.113292, 0.373659, -9.937831, 1.115107 
0.093116, 0.374898, -10.088101, 0.619488 
0.072685, 0.375110, -10.215651, 0.105957 
0.052048, 0.374260, -10.318535, -0.425003 
0.031258, 0.372314, -10.394707, -0.972731 
0.010374, 0.369241, -10.442027, -1.536362 
-0.010542, 0.365012, -10.458279, -2.114798 
-0.031425, 0.359598, -10.441184, -2.706676 
-0.052201, 0.352978, -10.388431, -3.310344 
-0.072797, 0.345130, -10.297704, -3.923825 
-0.093130, 0.336041, -10.166726, -4.544791 
-0.113117, 0.325700, -9.993306, -5.170539 
-0.132668, 0.314104, -9.775395, -5.797973 
-0.151690, 0.301256, -9.511155, -6.423588 
-0.170088, 0.287169, -9.199027, -7.043473 
-0.187764, 0.271863, -8.837819, -7.653322 
-0.204617, 0.255366, -8.426785, -8.248459 
-0.220549, 0.237718, -7.965712, -8.823886 
-0.235459, 0.218969, -7.455007, -9.374349 
-0.249250, 0.199181, -6.895769, -9.894423 
-0.261830, 0.178423, -6.289852, -10.378622 
-0.273110, 0.156780, -5.639910, -10.821524 
-0.283009, 0.134344, -4.949411, -11.217909 
-0.291454, 0.111219, -4.222628, -11.562914 
-0.298383, 0.087514, -3.464591, -11.852180 
-0.303745, 0.063350, -2.681011, -12.082001 
-0.307501, 0.038851, -1.878163, -12.249446 
-0.309627, 0.014146, -1.062748, -12.352469 
-0.310110, -0.010634, -0.241728, -12.389980 
-0.308955, -0.035357, 0.577853, -12.361877 
-0.306177, -0.059895, 1.389045, -12.269043 
-0.301806, -0.084122, 2.185170, -12.113302 
-0.295886, -0.107917, 2.959976, -11.897342 
-0.288471, -0.131166, 3.707770, -11.624604 
-0.279624, -0.153764, 4.423521, -11.299156 
-0.269418, -0.175615, 5.102931, -10.925550 
-0.257933, -0.196633, 5.742470, -10.508678 
-0.245254, -0.216740, 6.339384, -10.053627 
-0.231471, -0.235871, 6.891672, -9.565551 
-0.216675, -0.253970, 7.398043, -9.049553 
-0.200959, -0.270991, 7.857860, -8.510589 
-0.184417, -0.286898, 8.271065, -7.953386 
-0.167141, -0.301663, 8.638101, -7.382387 
-0.149221, -0.315266, 8.959836, -6.801704 
-0.130746, -0.327696, 9.237487, -6.215097 
-0.111801, -0.338948, 9.472543, -5.625962 
-0.092467, -0.349023, 9.666700, -5.037331 
-0.072824, -0.357927, 9.821805, -4.451880 
-0.052944, -0.365671, 9.939798, -3.871947 
-0.032899, -0.372270, 10.022674, -3.299554 
-0.012754, -0.377743, 10.072439, -2.736427 
0.007428, -0.382111, 10.091090, -2.184025 
0.027589, -0.385398, 10.080584, -1.643563 
0.047675, -0.387630, 10.042820, -1.116041 
